MEMBER_NO,L,R,F,M,C,D
‘00013229,1667,578,2,1.15,0.8356,低级别
‘00013235,1712,479,2,0.8815621,0.823271447,低级别
‘00013236,1215,350,6,0.68567607,0.761059095,低级别
‘00013238,1721,173,20,0.741900507,0.712865507,低级别
‘00013246,1686,469,14,0.736929645,0.788168764,低级别
‘00013249,1704,184,4,0.521468817,0.673586555,低级别
‘00013253,1665,446,4,1.430575035,1.5,中等级别
‘00013254,1665,52,63,0.694950912,0.763462741,低级别
‘00013257,1646,218,16,0.508660874,0.547351672,低级别
‘00013261,1637,480,2,0.613677265,0.569046191,低级别
‘00013264,1665,590,2,0.589792971,0.7,低级别
‘00013265,1597,621,3,0.307346327,0.45,低级别
‘00013267,865,217,8,0.796889663,0.76329937,低级别
‘00013271,1665,237,2,0.20029431,0.625,低级别
‘00013273,1567,248,15,0.578982024,0.771222098,低级别
‘00013274,1694,377,7,0.736855506,0.933392743,低级别
‘00013275,1635,165,17,0,0.610588235,低级别
‘00013280,1659,310,2,0.960809102,1,低级别
‘00013282,1659,469,4,0.565604364,0.837927074,低级别
‘00013293,1622,697,2,0.475035679,0.600815348,低级别
‘00013296,799,372,6,1.083702136,0.950894747,低级别
‘00013297,802,320,3,0.677083333,0.734072581,低级别
‘00013300,1649,506,4,0.619381344,0.602295795,低级别
‘00013301,1644,721,2,0.721911322,0.725226001,低级别
‘00013303,1652,339,5,0.575303061,0.908876104,低级别
‘00013319,1660,224,2,0.660568442,0.746200588,低级别
‘00013321,1667,520,4,0.968061892,1,低级别
‘00013324,1654,355,5,0.758053461,0.780785926,低级别
‘00013325,1634,460,10,0.580626781,0.57989825,低级别
‘00013328,1658,513,2,0.856760375,0.8,低级别
‘00013335,1546,245,2,0.737323944,0.685098592,低级别
‘00013338,1642,243,8,0.616309865,0.598819245,低级别
‘00013341,1571,386,4,0.561840253,0.6625,低级别
‘00013343,1621,141,2,0.617030381,0.637381258,低级别
‘00013345,1584,240,21,0.575494186,0.634451744,低级别
‘00013347,1609,130,6,0.594573543,0.752306893,低级别
‘00013348,1616,282,6,0.836801614,0.775,低级别
‘00013349,1584,240,7,0.655461246,0.685787358,低级别
‘00013351,1592,162,6,0.797725284,0.827415573,低级别
‘00013359,1554,156,12,0.489288954,0.704033215,低级别
‘00013361,1420,590,2,0.734621251,0.85,低级别
‘00013362,1589,106,2,0.414624609,0.56,低级别
‘00013365,1722,127,14,0.595362286,0.615653702,低级别
‘00013366,966,156,3,0.970887918,0.92,低级别
‘00013368,1594,330,4,0.600967352,0.580689238,低级别
‘00013373,1588,382,6,0.911193541,0.920445123,低级别
‘00013374,1472,159,5,0.877171717,0.904161616,低级别
‘00013377,1196,277,2,0.465724969,0.478234317,低级别
‘00013380,1209,205,9,0.850765607,0.829929329,低级别
‘00013384,1513,189,2,0.612322019,0.696787989,低级别
‘00013391,1524,392,3,0.524034454,0.71542095,低级别
‘00013397,1498,373,3,0.170011806,0.536097993,低级别
‘00013398,1549,513,5,0.781132075,0.815876011,低级别
‘00013399,1555,204,28,0.661482188,0.699167939,低级别
‘00013401,1171,382,11,0.670643841,0.717018272,低级别
‘00013403,1454,717,2,0.9,0.9,低级别
‘00013407,1384,278,6,0.458596808,0.440922915,低级别
‘00013408,1623,341,6,0.774485597,0.716687243,低级别
‘00013409,1080,569,3,0.781965007,0.721085689,低级别
‘00013415,607,547,3,0.305515641,0.4,低级别
‘00013416,1567,179,2,0.436602871,0.909481659,低级别
‘00013421,1512,485,4,0.776732405,0.787280622,低级别
‘00013422,1505,428,4,0.629936196,0.67757372,低级别
‘00013423,1474,434,3,0.822631343,0.874315222,低级别
‘00013425,1478,283,3,0.811972789,0.868696599,低级别
‘00013426,1482,425,6,0.742696516,0.889950808,低级别
‘00013428,1545,466,4,0.846466013,0.870003382,低级别
‘00013429,1516,206,12,0.657233835,0.744165169,低级别
‘00013433,1290,158,19,0.470578239,0.701219782,低级别
‘00013434,1290,348,3,0.42623567,0.569883481,低级别
‘00013436,1541,723,2,0.441454545,0.460509091,低级别
‘00013437,1545,195,2,0.562695516,0.76,低级别
‘00013438,1490,244,17,1.043473879,1.166480094,低级别
‘00013446,1536,284,8,0.387928766,0.43259321,低级别
‘00013448,1570,245,31,0.763356042,0.713985499,低级别
‘00013449,1917,451,10,0.400316888,0.4645386,低级别
‘00013452,1510,261,8,0.970649895,0.91542378,低级别
‘00013453,1515,689,2,0.475673653,0.55,低级别
‘00013454,1405,419,3,0.578763127,0.526176585,低级别
‘00013455,1566,411,2,0.565203145,0.625,低级别
‘00013459,1567,215,10,0.486870461,0.509262511,低级别
‘00013461,1565,368,2,0.266913497,0.325,低级别
‘00013462,1563,191,6,0.523385689,0.584010471,低级别
‘00013465,1499,83,34,0.720074091,0.796838283,低级别
‘00013469,2966,480,4,0.477255779,0.7950783,低级别
‘00013471,1566,549,2,0.836791148,1,低级别
‘00013472,1563,74,2,0.602551757,0.715,低级别
‘00013473,1447,432,11,0.73039631,0.88658571,低级别
‘00013477,1395,427,5,0.685255198,0.735491493,低级别
‘00013480,1492,217,8,0.746620526,0.83203201,低级别
‘00013483,1489,506,9,0.489631693,0.408480347,低级别
‘00013488,1527,292,4,0.873020362,0.81553733,低级别
‘00013493,1133,565,2,0.637248089,0.7,低级别
‘00013494,1545,108,23,0.855082066,0.922686644,高级别
‘00013496,1496,221,16,1.215336298,1.396464131,中等级别
‘00013497,1515,235,6,0.664947754,0.709014792,低级别
‘00013501,1475,393,9,0.880045552,1.037333924,低级别
‘00013502,1209,253,5,0.630913768,0.721764903,低级别
‘00013513,1338,713,2,1.352504638,1.5,低级别
‘00013518,1382,562,2,0.554241246,0.584537037,低级别
‘00013520,1077,610,2,0.845601436,0.808916816,低级别
‘00013521,1238,194,2,0.331812526,0.858183326,低级别
‘00013526,1168,292,6,0.446038251,0.697909836,低级别
‘00013529,1496,400,5,0.623495426,0.74,低级别
‘00013530,1481,564,2,0.403404885,0.36176906,低级别
‘00013531,1553,194,14,0.517761989,0.662433393,低级别
‘00013535,1275,695,2,0.914340712,1,低级别
‘00013536,1178,124,2,0.504445484,0.823416004,低级别
‘00013538,1455,657,4,1.053664921,1,低级别
‘00013539,1264,632,3,1.1,1,低级别
‘00013542,881,499,4,0.307354117,0.540447642,低级别
‘00013546,1511,59,2,0.372076541,0.58,低级别
‘00013547,1504,508,2,2.739709443,1,低级别
‘00013549,866,289,5,0.59030553,0.765817971,低级别
‘00013552,846,173,5,0.506079845,0.520924352,低级别
‘00013553,1327,144,71,0.803307723,0.802114353,低级别
‘00013554,1327,180,2,0.506440121,0.66,低级别
‘00013557,1260,397,3,2.206103286,1,低级别
‘00013562,1246,614,2,0.696117805,0.65,低级别
‘00013564,1521,178,2,0.20029431,0.625,低级别
‘00013568,1327,693,3,0.321479828,0.395471217,低级别
‘00013569,1413,524,2,0.889101338,1,低级别
‘00013574,1505,366,2,0.534306569,0.6,低级别
‘00013575,1468,514,9,0.599654421,0.647802569,低级别
‘00013577,1485,120,2,0.510882016,0.48,低级别
‘00013580,1456,292,3,0.323928666,0.332129359,低级别
‘00013587,1194,210,8,0.66616528,0.695121217,低级别
‘00013588,1332,309,3,0.612682927,0.705,低级别
‘00013592,1446,298,3,0.515042511,1.03,中等级别
‘00013597,1376,372,4,0.459194275,0.630053099,低级别
‘00013604,1227,611,2,0.829411765,0.825,低级别
‘00013605,1257,175,12,0.521770932,0.608072025,低级别
‘00013606,1330,179,15,0.240026161,0.681333333,高级别
‘00013608,1462,278,14,0.621585802,0.651638239,低级别
‘00013614,1291,452,2,1.140595903,0.775,低级别
‘00013616,623,391,38,0.784607519,0.784503303,低级别
‘00013617,417,414,2,0.678206583,0.75,低级别
‘00013622,1315,662,2,0.91191446,0.899796334,低级别
‘00013624,1441,174,3,0.635869565,0.695416667,低级别
‘00013626,1431,173,3,0.436703483,0.755609601,低级别
‘00013628,1404,325,2,0.443225806,0.482741935,低级别
‘00013629,1424,201,11,0.564486078,0.637622399,低级别
‘00013630,1471,146,16,0.677004454,0.84086971,低级别
‘00013632,1476,539,2,0.944831959,1,低级别
‘00013633,1466,215,7,0.581028005,0.69119877,低级别
‘00013636,1153,214,4,0.581235698,0.615881007,低级别
‘00013637,1375,81,2,0.783783784,0.715,低级别
‘00013638,1390,164,2,1.228119181,0.835,低级别
‘00013639,1442,683,2,0.834027365,0.843664485,低级别
‘00013643,1444,151,3,0.458244869,0.584423213,低级别
‘00013645,1447,718,2,0.757099391,0.878296146,低级别
‘00013651,1279,557,12,0.670725446,0.683092496,中等级别
‘00013653,1279,247,6,0.605169692,0.680388713,低级别
‘00013657,1412,173,13,0.672785866,0.675845658,低级别
‘00013658,1547,25,2,0.717336045,0.83,低级别
‘00013667,1382,228,2,0.682195026,0.681879195,低级别
‘00013668,1458,566,5,0.583078893,0.671230178,低级别
‘00013673,857,579,2,0.253623188,1,低级别
‘00013674,864,463,6,0.516774987,0.636852275,低级别
‘00013675,1435,186,15,0.864036094,0.835453086,低级别
‘00013678,1297,224,9,0.543985433,0.552719927,低级别
‘00013679,1251,654,8,0.303509291,0.65878005,低级别
‘00013688,1327,478,2,0.872769589,1.5,高级别
‘00013690,1363,223,2,0.691996766,0.703120453,低级别
‘00013691,1361,211,2,0.294403893,0.334299811,低级别
‘00013694,1026,640,2,0.475035679,0.4,低级别
‘00013697,931,428,3,0.567178503,0.650167946,低级别
‘00013698,1305,574,9,0.81792688,0.839141047,低级别
‘00013702,1151,550,7,0.776731881,0.807142857,低级别
‘00013705,1316,352,5,0.666756393,0.672853297,低级别
‘00013708,1085,371,4,0.612996159,0.603841229,低级别
‘00013710,1086,218,3,0.499380805,0.680947368,低级别
‘00013713,1370,554,2,0.544111932,0.854547221,低级别
‘00013714,1301,252,6,0.818862626,0.750858881,低级别
‘00013717,1416,170,22,0.388980181,0.823085848,低级别
‘00013720,1343,195,19,0.793159809,0.807080047,低级别
‘00013722,701,396,7,0.433618528,0.486576191,低级别
‘00013723,1321,185,10,0.758219107,0.835490055,低级别
‘00013724,1424,339,10,0.800139094,0.839311484,低级别
‘00013727,1083,332,2,0.554814109,0.6,低级别
‘00013728,1294,369,10,0.771638004,0.76814914,低级别
‘00013730,1402,125,22,0.484562427,0.574158374,低级别
‘00013731,1389,276,3,0.699808795,0.721845124,低级别
‘00013732,1297,215,9,0.525984733,0.570285802,低级别
‘00013733,1249,486,3,0.9984,1,低级别
‘00013735,1404,388,2,0.296430294,0.325,低级别
‘00013736,1329,710,2,0.456736353,0.55,低级别
‘00013737,1281,612,7,0.406142535,0.420597652,低级别
‘00013743,1197,413,13,0.746695874,0.802095655,低级别
‘00013744,1230,157,2,0.699161677,0.785578443,低级别
‘00013754,676,531,2,0.52,0.65136,低级别
‘00013755,705,512,12,0.738463442,0.612711864,低级别
‘00013758,1329,392,2,1.361266294,0.925,低级别
‘00013765,532,129,15,0.290911368,0.654688645,低级别
‘00013767,1406,105,24,0.8401601,0.764815469,低级别
‘00013769,977,352,3,0.496308017,0.588132911,低级别
‘00013771,894,286,5,0.238718116,0.708,低级别
‘00013772,1252,308,5,0.340749951,0.77218114,低级别
‘00013776,1257,648,2,1.348877375,1.1,低级别
‘00013777,1251,173,2,0.43545082,0.65,低级别
‘00013780,1229,525,3,0.408135776,0.835237069,低级别
‘00013781,1115,94,28,0.666488499,0.775388528,低级别
‘00013782,1363,535,7,0.580081322,0.852661456,低级别
‘00013784,1436,389,5,0.545277744,0.581086666,低级别
‘00013789,1195,708,2,0.30923087,0.7,低级别
‘00013795,926,463,8,0.298815226,0.504224855,低级别
‘00013799,1324,74,2,0.421732746,0.688370044,低级别
‘00013802,1356,159,13,0.668820581,0.687046319,低级别
‘00013804,1308,535,4,0.825077399,0.85,低级别
‘00013805,1360,287,5,0.94357817,0.968173984,低级别
‘00013806,1236,711,2,1.253623188,0.948641304,低级别
‘00013807,1184,156,22,0.6220566,0.643591128,低级别
‘00013810,1254,563,4,0.948163584,1,低级别
‘00013811,1170,265,5,0.926648352,0.924,低级别
‘00013818,1437,83,56,1.038659298,0.995827664,低级别
‘00013827,677,431,5,0.743250492,0.758573217,低级别
‘00013832,1019,627,4,0.990885891,0.887203791,低级别
‘00013833,981,307,17,0.575304964,0.622764604,低级别
‘00013836,1012,205,14,0.783152934,0.840783447,低级别
‘00013842,1238,160,6,0.651234568,0.714308449,低级别
‘00013845,468,332,12,0.368047047,0.589465409,低级别
‘00013847,1281,208,7,0.863373958,0.854656831,低级别
‘00013851,1122,642,5,0.760966543,0.801022305,低级别
‘00013852,1148,430,4,0.527659574,0.558054711,低级别
‘00013855,1242,399,5,0.637037037,0.544669887,低级别
‘00013857,1240,479,4,0.564387917,0.667448331,低级别
‘00013860,1111,221,13,0.516657759,0.534614882,低级别
‘00013862,952,526,3,0.538137083,0.675571178,低级别
‘00013864,1252,277,3,0.686139565,0.808801216,低级别
‘00013865,1212,269,3,1.478134111,0.941156463,低级别
‘00013866,1141,47,2,0.742033804,0.875228595,低级别
‘00013872,471,202,3,0.492499292,0.509326352,低级别
‘00013873,1110,490,3,0.383682696,0.435819975,低级别
‘00013875,1272,129,14,0.569043439,0.623619691,低级别
‘00013877,1281,376,5,0.767532642,0.8054718,低级别
‘00013879,1284,246,5,0.609431681,0.634,低级别
‘00013883,1278,562,2,0.843835616,0.886191781,低级别
‘00013884,1254,343,14,0.687570909,0.776605375,低级别
‘00013887,950,195,4,0.241691843,0.45,低级别
‘00013890,650,626,2,0.271310182,0.7,低级别
‘00013895,1269,323,20,0.595240697,0.673181793,低级别
‘00013896,1092,253,4,0.690177253,0.861826686,低级别
‘00013899,1226,571,3,0.804532578,0.74608711,低级别
‘00013908,1246,668,3,0.409663531,0.489547122,低级别
‘00013911,1151,443,11,0.604759828,0.658416921,低级别
‘00013913,1169,304,5,0.428834888,0.503053808,低级别
‘00013914,1159,650,2,0.45539281,0.473701731,低级别
‘00013915,1075,266,8,0.557875397,0.581729581,低级别
‘00013917,1286,154,3,0.67531398,0.719693226,低级别
‘00013925,977,671,2,0.34960071,0.37810559,低级别
‘00013926,961,198,4,0.799591929,0.787043754,低级别
‘00013928,1139,264,14,0.64846115,0.675512109,低级别
‘00013934,1029,297,14,0.82795347,0.762951959,低级别
‘00013944,965,348,7,0.585256934,0.69544311,低级别
‘00013946,1157,113,51,0.773557334,0.739495067,低级别
‘00013948,1210,165,2,0.9,0.92,低级别
‘00013952,507,497,2,0.596863469,0.7,低级别
‘00013953,512,500,2,0.451263538,0.5,低级别
‘00013954,451,168,2,0.779220779,0.565662338,低级别
‘00013955,473,466,2,0.704433498,0.799636406,低级别
‘00013957,1110,184,2,0.667026444,0.665590934,低级别
‘00013960,1152,397,6,0.419038731,0.491923316,低级别
‘00013964,987,136,22,0.597765538,0.736584465,低级别
‘00013966,1204,511,6,0.359568073,0.675186463,低级别
‘00013970,754,470,4,0.725879682,0.625766175,低级别
‘00013971,602,583,2,0.261818182,0.5984,低级别
‘00013973,1198,105,5,0.483237481,0.50584514,低级别
‘00013975,1212,465,4,0.768836494,0.718093285,低级别
‘00013977,1187,144,31,0.597076023,1.455932164,低级别
‘00013978,1180,201,13,0.785681558,0.828057274,低级别
‘00013979,1198,236,2,0.649013,0.77,低级别
‘00013980,1194,622,4,0.340250855,0.510353478,低级别
‘00013981,1230,382,21,0.492247963,0.625282879,低级别
‘00013982,1211,106,9,0.432769083,0.624631108,低级别
‘00013989,1195,315,6,0.608992373,0.579205138,低级别
‘00013990,1180,414,3,0.690997567,0.933333333,低级别
‘00013992,1193,128,2,0.566388711,0.659908061,低级别
‘00013993,1206,274,7,0.314933676,0.512269576,低级别
‘00013994,1177,306,8,3.536464245,1.3,低级别
‘00013996,783,265,6,0.680243835,0.784273575,低级别
‘00013997,821,431,24,0.766260558,0.808586665,低级别
‘00013998,1156,432,3,0.226282854,0.613454318,低级别
‘00013999,1210,106,28,0.070536494,0.643899147,低级别
‘00014001,1033,428,7,0.627571116,0.672231947,低级别
‘00014005,1191,195,22,0.494886881,0.692854591,低级别
‘00014009,925,377,4,0.948201914,0.956713956,低级别
‘00014011,1043,395,6,0.539650177,0.567351647,低级别
‘00014012,1120,529,3,0.541755889,0.577593926,低级别
‘00014013,879,368,4,0.528834681,0.581134827,低级别
‘00014015,899,418,6,1.500910194,0.893082524,低级别
‘00014023,881,618,4,0.286853296,0.5,低级别
‘00014025,633,454,4,0.555941224,0.732106907,低级别
‘00014026,665,626,4,0.377423145,0.548658704,低级别
‘00014028,1192,307,5,0.525396409,1.00418038,低级别
‘00014030,795,639,2,0.974842767,1,低级别
‘00014033,1169,80,2,0.287345385,0.575,低级别
‘00014038,1217,66,4,0.597158147,0.615200221,低级别
‘00014040,1222,470,3,1.656760773,1.152035661,低级别
‘00014041,1200,382,4,0.448675497,0.46589404,低级别
‘00014042,1175,577,6,0.746974562,0.764410966,低级别
‘00014043,1147,421,2,2.77173913,0.85,低级别
‘00014044,1153,514,5,0.562550772,0.628689412,低级别
‘00014045,1046,497,5,0.608438623,0.671345775,低级别
‘00014047,969,291,22,0.416619696,0.656851598,低级别
‘00014049,1157,437,4,0.718495014,0.75,低级别
‘00014055,1153,190,3,0.6841612,0.73,低级别
‘00014057,796,297,6,0.537016776,0.613916849,低级别
‘00014062,1158,383,3,0.718967636,0.842462106,低级别
‘00014063,1088,524,3,0.866666667,0.866666667,低级别
‘00014064,705,311,8,0.631697924,0.726712157,低级别
‘00014066,1172,471,2,0.58781362,0.586379928,低级别
‘00014067,1128,638,2,0.429554391,0.475,低级别
‘00014068,563,213,9,0.544168887,0.655226481,低级别
‘00014069,895,681,2,0.419094854,0.4,低级别
‘00014071,1074,163,13,0.711421521,0.858552921,低级别
‘00014073,1170,217,4,0.599954823,0.689887057,低级别
‘00014076,1126,181,6,0.341966815,0.763943972,低级别
‘00014077,1118,187,6,0.524587122,0.562913342,低级别
‘00014078,1040,627,2,0.695319962,0.8,低级别
‘00014080,1012,571,2,0.717428088,0.704568528,低级别
‘00014081,1008,319,6,0.270922924,0.592071893,低级别
‘00014085,712,291,18,1.024389405,0.861111111,低级别
‘00014087,701,697,4,0.623334171,0.706084989,低级别
‘00014090,903,577,2,0.395584989,0.4,低级别
‘00014094,1072,468,2,0.377102267,0.657536822,低级别
‘00014095,1089,166,2,0.442465094,0.525,低级别
‘00014096,969,607,4,0.373271889,0.785599078,低级别
‘00014098,961,240,19,0.827158556,0.905953428,低级别
‘00014099,962,604,2,0.867857143,0.9,低级别
‘00014100,1087,601,4,0.722496372,0.773628447,低级别
‘00014104,1068,346,21,0.705985146,0.721428571,低级别
‘00014107,1104,484,5,1.025732591,1.188278542,低级别
‘00014108,1122,496,3,0.983341046,0.894886627,低级别
‘00014109,1123,651,2,0.613421485,0.7,低级别
‘00014112,1161,112,28,0.782224822,0.809884414,低级别
‘00014117,1056,280,15,0.442926179,0.497631061,低级别
‘00014118,1058,326,3,0.686909582,0.807467386,低级别
‘00014119,869,394,6,0.762327291,0.811414628,低级别
‘00014121,1077,510,2,0.858376511,0.7,低级别
‘00014122,589,500,4,0.952399381,0.875,低级别
‘00014123,669,425,15,0.786068111,0.826666667,低级别
‘00014130,688,566,7,0.697213622,0.807142857,低级别
‘00014133,1118,133,8,0.31382855,0.459032048,低级别
‘00014135,1162,157,11,0.553568358,0.594609344,低级别
‘00014136,1045,469,9,0.704467354,0.745303551,低级别
‘00014138,1066,191,19,1.203121344,0.873777435,低级别
‘00014152,765,454,3,0.635544636,0.614250614,低级别
‘00014153,920,400,2,0.450888192,0.514420063,低级别
‘00014154,969,353,16,0.485824035,0.678486068,低级别
‘00014156,1100,403,2,0.838630807,0.824123879,低级别
‘00014160,1176,559,3,0.481848185,0.695049505,低级别
‘00014162,1120,571,5,1.777558082,0.844883836,低级别
‘00014167,1113,222,2,0.460426703,0.49,低级别
‘00014173,1107,378,4,0.598163533,0.969403148,低级别
‘00014175,1096,309,12,0.644175634,0.651928364,低级别
‘00014176,1034,421,11,0.651006711,0.77711695,低级别
‘00014185,795,188,3,0.638586957,0.599382764,低级别
‘00014187,604,599,2,1.348846008,0.9,低级别
‘00014188,623,518,5,0.819371926,0.78,低级别
‘00014190,694,215,16,1.274267289,0.844538236,低级别
‘00014192,835,418,9,0.738602272,0.818019968,低级别
‘00014193,1096,366,7,0.625352113,0.688497653,低级别
‘00014198,914,496,2,0.47220339,0.509186441,低级别
‘00014199,991,344,16,0.773868269,0.775573911,低级别
‘00014200,709,346,4,0.633289416,0.648133509,低级别
‘00014201,561,560,2,0.352902591,0.4,低级别
‘00014202,701,564,8,0.828076598,0.871001126,低级别
‘00014204,589,268,3,0.179157744,0.313501071,低级别
‘00014207,1069,312,5,0.719660537,0.826737388,低级别
‘00014209,745,337,24,1.458860236,0.792074598,低级别
‘00014210,809,633,3,1.392947103,0.685390428,低级别
‘00014211,1308,347,7,1.637410861,1.5,低级别
‘00014213,1122,472,2,2.77173913,0.85,低级别
‘00014217,1009,249,8,0.300839593,0.843257623,低级别
‘00014218,1028,382,7,0.823151125,0.8,低级别
‘00014220,837,165,3,0.471834377,0.56,低级别
‘00014222,874,381,8,0.587813909,0.6125,低级别
‘00014224,633,196,8,0.646548673,0.686823009,低级别
‘00014227,1047,380,4,0.189053303,0.5375,低级别
‘00014231,1091,685,2,0.408744281,0.4,低级别
‘00014233,1127,403,6,0.709199159,0.813641139,低级别
‘00014234,1112,201,6,0.721848911,0.668926899,低级别
‘00014236,1082,300,2,0.513464991,0.583870736,低级别
‘00014237,1088,443,5,1.231039586,1.390029597,低级别
‘00014241,1112,174,7,1.017518155,1.19592687,低级别
‘00014245,1110,289,9,0.607848673,0.683187465,低级别
‘00014247,1000,389,24,0.536325895,0.814031598,低级别
‘00014248,1097,191,17,0.589343538,0.726108751,低级别
‘00014250,1063,186,8,0.430151844,0.43978308,低级别
‘00014253,1001,349,22,0.744087791,0.800581619,低级别
‘00014256,1028,625,2,0.780843803,1,低级别
‘00014258,693,565,2,1.732026144,0.8,低级别
‘00014263,686,270,2,0.475124378,0.415,低级别
‘00014268,974,660,3,0.426061493,0.453147877,低级别
‘00014269,913,279,4,0.450622084,0.46,低级别
‘00014270,993,205,2,0.99229584,0.92,低级别
‘00014274,1076,441,10,0.626908759,0.70587632,低级别
‘00014277,825,171,16,0.937393783,0.793592457,低级别
‘00014281,991,186,6,0.760398286,0.787305268,低级别
‘00014285,1088,642,2,0.656492637,0.753493976,低级别
‘00014291,909,576,9,0.769523086,0.809623789,低级别
‘00014295,1076,541,2,0.931851136,0.926437893,低级别
‘00014301,1029,191,6,0.458027949,0.614004691,低级别
‘00014302,1043,670,2,0.514469453,0.5,低级别
‘00014303,1035,270,4,0.440690506,0.465415536,低级别
‘00014305,1089,626,2,0.650546678,0.65,低级别
‘00014306,1080,284,4,0.298754132,0.626380625,低级别
‘00014311,1082,348,3,0.544176093,0.579944971,低级别
‘00014312,960,256,8,0.737788541,0.84175237,低级别
‘00014315,1106,492,3,0.549597287,0.610661297,低级别
‘00014318,1091,425,7,0.476545604,0.745655903,低级别
‘00014319,800,556,2,0.33359841,0.388170974,低级别
‘00014328,957,549,5,0.594211988,0.71601111,低级别
‘00014330,1008,385,3,0.584318962,0.656285769,低级别
‘00014331,999,562,2,0.948602967,1,低级别
‘00014334,663,529,3,3.029885057,0.916666667,低级别
‘00014335,657,586,2,0.72997416,0.8,低级别
‘00014336,639,635,2,2.010353753,0.949956859,低级别
‘00014338,451,448,2,0.354578097,0.5,低级别
‘00014340,419,91,8,0.757265774,0.732982792,低级别
‘00014341,1029,417,12,0.924315233,1.031499279,低级别
‘00014345,1021,281,10,0.705142127,0.854284893,低级别
‘00014352,464,349,2,0.886552297,0.884228002,低级别
‘00014357,1045,488,7,0.176889849,0.701933045,低级别
‘00014362,1014,382,3,0.569634447,0.809649024,低级别
‘00014367,956,317,6,1.296390442,1.5,低级别
‘00014368,1066,130,15,1.234153036,1.378786024,高级别
‘00014369,991,226,4,1.158690176,0.65,低级别
‘00014370,534,533,2,1.011169514,0.95,低级别
‘00014378,491,488,2,2.275862069,0.75,低级别
‘00014379,507,505,2,2.275862069,0.75,低级别
‘00014380,506,500,2,1.119483315,0.8,低级别
‘00014381,500,496,2,1.414728682,0.875,低级别
‘00014382,494,490,2,0.950125945,0.7,低级别
‘00014383,479,92,14,0.534637628,0.645714286,低级别
‘00014384,748,273,2,0.779109589,0.875,低级别
‘00014386,712,463,7,0.761613866,1.001079699,低级别
‘00014388,706,555,3,2.729885057,0.85,低级别
‘00014389,982,433,17,0.438416239,0.904059642,低级别
‘00014390,985,239,6,0.733700579,0.832688794,低级别
‘00014391,1044,168,2,0.821122369,0.92,低级别
‘00014393,685,427,2,0.774872449,0.75752551,低级别
‘00014395,971,200,6,0.561712846,0.622614924,低级别
‘00014397,689,687,2,2.318965517,0.8,低级别
‘00014399,623,619,2,1.115417743,0.9,低级别
‘00014400,623,500,6,0.710594315,0.783333333,低级别
‘00014401,589,587,2,3.570689655,1,低级别
‘00014407,897,693,2,0.66,0.712902778,低级别
‘00014408,933,553,5,0.81443299,0.748107003,低级别
‘00014413,745,655,2,0.86746988,0.9,低级别
‘00014418,753,172,15,0.494870806,0.782176629,低级别
‘00014421,1052,190,7,0.513416545,0.426835616,低级别
‘00014422,991,359,2,0.563570784,0.7,低级别
‘00014424,1079,310,5,0.553220471,0.569673088,低级别
‘00014426,952,513,2,0.60683425,0.654516889,低级别
‘00014428,753,232,2,0.300180018,0.622569757,低级别
‘00014430,1029,243,7,0.470009521,0.605180895,低级别
‘00014434,1023,232,5,0.669840689,0.697646951,低级别
‘00014435,1075,624,4,0.530368764,1.029850325,低级别
‘00014438,925,167,12,0.538190214,0.57518566,低级别
‘00014441,1072,141,22,0.754872261,0.630092901,低级别
‘00014444,841,635,2,0.494153471,0.80953715,低级别
‘00014448,947,646,2,0.577837026,0.675,低级别
‘00014452,440,434,2,0.879032258,1,低级别
‘00014454,893,518,4,0.414989059,0.4625,低级别
‘00014456,1004,176,2,2.869196429,0.92,低级别
‘00014457,993,673,4,0.774787535,0.785835694,低级别
‘00014460,435,281,2,0.817853705,0.96520693,低级别
‘00014464,1039,301,15,0.791804845,0.792438874,低级别
‘00014466,625,611,4,0.492761079,0.956232821,低级别
‘00014467,764,540,3,0.856088561,0.776706642,低级别
‘00014472,1060,216,14,1.108374384,0.501428571,低级别
‘00014475,938,137,3,0.63761836,0.756666667,低级别
‘00014476,719,717,2,2.793103448,0.9,低级别
‘00014477,714,706,5,1.196986006,0.81,低级别
‘00014478,778,695,4,1.340236686,0.864733728,低级别
‘00014479,712,651,2,1.312335958,0.8,低级别
‘00014480,659,471,6,1.087139255,0.833987111,低级别
‘00014481,933,672,4,0.514016736,0.4875,低级别
‘00014482,892,264,3,0.705994654,0.716666667,低级别
‘00014483,713,705,5,0.79328315,0.907874928,低级别
‘00014485,732,673,5,0.64484013,0.745223052,低级别
‘00014487,1030,111,5,0.3467827,0.676,低级别
‘00014489,868,619,2,0.716438674,0.75,低级别
‘00014496,1048,280,11,0.583445534,0.608707444,低级别
‘00014498,1022,403,4,0.55068451,0.581387479,低级别
‘00014499,1020,524,12,0.551639344,0.781648452,低级别
‘00014501,1024,695,2,0.595022624,0.570995475,低级别
‘00014502,948,405,2,0.444444444,0.4,低级别
‘00014503,947,552,4,0.441381748,0.555989928,低级别
‘00014507,943,131,23,0.763117824,0.766472283,低级别
‘00014508,788,227,6,1.422930104,0.690302751,低级别
‘00014509,1033,275,6,0.817271353,0.792312925,低级别
‘00014511,794,295,11,1.102592884,0.576686497,低级别
‘00014516,584,580,2,0.60292851,0.7,低级别
‘00014519,922,336,4,0.323025435,0.359076305,低级别
‘00014521,1104,139,35,0.64337257,0.640858246,低级别
‘00014522,763,678,2,0.26953125,0.540390625,低级别
