MEMBER_NO,L,R,F,M,C,D,runoff_flag
‘00019684,1023,140,5,0.755118589,0.768887087,中等级别,0
‘00019685,1016,240,3,0.456105491,0.566412572,低级别,0
‘00019686,1028,310,5,1.006496608,1.111063342,低级别,1
‘00019687,1009,55,28,0.538403892,0.715280646,低级别,0
‘00019688,1008,224,7,0.37522604,0.947530354,低级别,1
‘00019689,1007,1,7,0.575733821,0.609364167,低级别,0
‘00019690,1007,4,53,0.860662276,0.85911678,中等级别,0
‘00019691,1007,10,17,0.581701257,0.576788951,低级别,0
‘00019692,1006,137,5,0.62242883,0.765300313,低级别,0
‘00019693,1008,564,3,0.919895894,0.940167727,低级别,1
‘00019694,1000,233,38,0.705522693,0.750910982,低级别,1
‘00019695,999,290,7,0.341373256,0.525949543,低级别,1
‘00019696,995,6,6,0.447090776,0.647363418,低级别,0
‘00019697,991,715,2,0.866967306,0.898083427,低级别,1
‘00019698,991,650,4,0.592819615,0.638725919,低级别,1
‘00019699,988,200,3,0.932709854,0.681781478,低级别,1
‘00019700,988,6,4,0.473282443,0.441294656,低级别,0
‘00019701,1027,537,3,0.601483357,0.83815123,低级别,1
‘00019702,986,171,17,0.580867979,0.528297276,低级别,1
‘00019703,981,471,8,0.709984529,0.896441747,低级别,1
‘00019704,973,430,2,0.727383863,0.817389976,低级别,1
‘00019705,973,672,2,0.327657807,0.378218439,低级别,1
‘00019706,977,243,3,0.684294069,0.751378655,低级别,1
‘00019707,970,4,9,0.642075472,0.610825472,低级别,0
‘00019708,969,386,8,0.592564376,0.614802682,低级别,1
‘00019709,967,4,13,0.631476127,0.617858092,低级别,0
‘00019710,967,153,9,0.830413223,0.938718182,低级别,0
‘00019711,964,50,7,0.376296979,0.376232419,低级别,0
‘00019712,964,48,21,0.228865096,0.592524625,低级别,0
‘00019713,1447,90,9,0.528684433,0.688513939,低级别,0
‘00019714,959,107,5,0.529005679,0.710124708,低级别,0
‘00019715,958,204,11,0.702017589,0.709244697,低级别,1
‘00019716,956,31,18,0.468061451,0.690618051,低级别,0
‘00019717,956,201,4,0.424242424,0.596498562,低级别,1
‘00019718,953,243,11,0.547068146,0.558683835,低级别,1
‘00019719,949,401,6,0.90873431,0.821796548,低级别,1
‘00019720,950,167,2,0.60451505,0.64,低级别,0
‘00019721,948,128,3,0.459211421,0.543096533,低级别,1
‘00019722,951,71,13,0.76277666,0.823146881,低级别,0
‘00019723,945,1,7,0.928975653,0.785912261,低级别,0
‘00019724,944,9,3,0.920126117,0.935916973,低级别,0
‘00019725,942,113,21,0.694092409,0.745643564,低级别,1
‘00019726,943,4,65,0.595351803,0.735672851,中等级别,0
‘00019727,924,317,2,0.775510204,0.83483965,低级别,1
‘00019728,924,24,33,0.633744489,0.659096273,低级别,0
‘00019729,926,705,2,0.80733945,0.825,低级别,1
‘00019730,927,566,4,0.389538019,0.673530469,低级别,1
‘00019731,922,115,9,0.393615155,0.417555692,低级别,0
‘00019732,932,186,4,0.702469845,0.705717021,低级别,0
‘00019733,936,13,38,0.444969538,0.788800698,中等级别,0
‘00019734,937,222,8,0.639660796,0.723818004,低级别,1
‘00019735,937,549,3,0.721268596,0.85,低级别,1
‘00019736,917,395,5,0.663743758,0.708543417,低级别,1
‘00019737,914,24,9,0.592085689,0.64283249,低级别,0
‘00019738,916,234,2,0.556776557,0.593150183,低级别,0
‘00019739,912,445,2,0.758409786,0.775,低级别,1
‘00019741,906,411,5,0.764183292,0.891754988,低级别,1
‘00019742,906,593,6,0.544628099,0.782863046,低级别,1
‘00019743,908,298,2,0.723723724,0.66,低级别,1
‘00019744,908,80,6,0.849204992,0.831938793,低级别,0
‘00019745,903,79,18,0.36323252,1.176127913,低级别,0
‘00019746,904,99,7,0.443974114,0.748197322,低级别,0
‘00019747,895,292,2,0.595948012,0.652633792,低级别,1
‘00019748,894,11,8,0.648810872,0.849862967,中等级别,0
‘00019750,890,22,8,0.496161338,0.603325312,低级别,0
‘00019751,1055,18,13,0.539886952,1.014545871,中等级别,0
‘00019752,888,20,7,0.749181095,0.834790594,低级别,0
‘00019753,889,64,9,0.65290289,0.745795886,低级别,0
‘00019754,890,129,4,0.754134241,0.746160019,低级别,0
‘00019755,914,68,3,0.400835073,0.427891441,低级别,0
‘00019756,887,148,9,0.660257681,0.728892633,低级别,1
‘00019757,889,130,2,0.628914057,0.671532312,低级别,0
‘00019760,871,65,15,0.69774786,0.772072218,低级别,0
‘00019762,872,6,2,1.546052632,0.89,低级别,1
‘00019763,872,104,8,0.454379211,0.624102021,低级别,1
‘00019764,874,18,15,0.461599887,0.630658556,低级别,0
‘00019766,857,40,12,0.555728574,0.579263341,低级别,0
‘00019767,858,81,10,0.809571958,0.950626896,低级别,1
‘00019768,3009,36,2,0.92605042,0.875,低级别,1
‘00019769,846,258,6,1.45143178,1.448203257,低级别,1
‘00019770,847,20,17,0.579810879,0.648317304,低级别,0
‘00019771,849,142,4,0.396011866,0.420070864,低级别,0
‘00019772,838,35,16,0.787000783,0.861956735,低级别,0
‘00019773,837,187,13,0.61525974,0.666590909,低级别,0
‘00019774,837,132,6,0.380757153,0.434844731,低级别,0
‘00019775,832,412,2,0.774544043,0.800388048,低级别,1
‘00019776,830,1,4,0.625027156,0.612435368,低级别,0
‘00019777,824,46,14,1.285106621,1.00463844,低级别,0
‘00019778,822,22,24,0.687352777,0.697700116,低级别,0
‘00019779,817,393,3,0.574622532,0.540984321,低级别,1
‘00019780,826,91,19,0.550571862,0.587156539,低级别,0
‘00019781,832,290,5,0.537300467,0.56874362,低级别,1
‘00019782,810,496,3,0.662037037,0.733333333,低级别,1
‘00019783,807,117,11,0.447627365,0.476980495,低级别,0
‘00019784,805,105,2,0.733171913,0.817506053,低级别,1
‘00019785,807,181,3,0.454854369,0.655987055,低级别,0
‘00019786,803,22,5,0.761431412,0.785389662,低级别,0
‘00019787,802,76,18,0.566123362,0.676370086,低级别,0
‘00019789,802,165,3,0.721874498,0.856666667,低级别,0
‘00019790,786,230,11,0.622153465,0.640869431,低级别,1
‘00019791,786,57,12,0.748844851,0.716032447,低级别,0
‘00019793,795,59,6,0.77773994,0.778499915,低级别,0
‘00019794,771,4,4,0.308516638,0.319187817,低级别,0
‘00019795,770,714,2,0.894160584,0.7,低级别,1
‘00019796,774,11,22,0.718577993,0.750505731,低级别,0
‘00019797,775,77,9,0.573928481,0.641360005,低级别,1
‘00019798,777,92,8,0.339593016,0.383378344,低级别,0
‘00019799,772,22,17,0.673295129,0.761368481,低级别,0
‘00019800,763,13,5,0.802619515,0.90702685,低级别,0
‘00019801,770,67,18,0.458185808,0.529406573,低级别,0
‘00019802,866,563,3,0.859470468,0.930889341,低级别,1
‘00019803,762,213,3,0.449529936,0.445744681,低级别,1
‘00019804,771,120,9,0.494312942,0.516357209,低级别,0
‘00019805,754,261,10,0.601338335,0.67726351,低级别,1
‘00019806,755,446,3,0.135567403,0.48335872,低级别,1
‘00019807,750,95,4,0.507008791,0.665367071,低级别,0
‘00019808,749,320,2,0.973544974,1,低级别,1
‘00019809,746,6,4,0.765754297,0.862694674,低级别,0
‘00019810,745,229,2,0.73041077,0.881322057,低级别,1
‘00019812,742,507,2,0.631294964,0.675,低级别,1
‘00019813,747,50,12,0.49813043,0.552705928,低级别,0
‘00019814,748,170,10,0.657197966,0.648295634,低级别,0
‘00019815,748,12,22,0.44717235,0.605337869,低级别,0
‘00019816,741,2,17,0.854902252,0.850816918,高级别,0
‘00019817,741,49,22,2.800642292,0.805909091,低级别,0
‘00019818,736,284,6,0.561151079,0.847192097,低级别,1
‘00019820,737,49,8,0.655744504,0.631668187,低级别,0
‘00019821,738,51,21,0.726425457,0.844727557,低级别,0
‘00019822,739,13,21,0.729068289,0.733762713,低级别,0
‘00019823,739,488,4,0.745173745,1,低级别,1
‘00019824,733,16,70,0.835004999,0.715421356,中等级别,0
‘00019825,730,528,2,0.716297787,0.703822938,低级别,1
‘00019826,729,582,2,0.398613518,0.4,低级别,1
‘00019827,728,56,11,1.18474059,1.291498813,高级别,0
‘00019828,724,11,3,0.583467353,0.619125121,低级别,0
‘00019829,721,35,18,0.491915452,0.533964944,低级别,0
‘00019830,721,44,4,0.468118196,0.784759363,低级别,0
‘00019831,718,110,30,0.755085859,0.934170528,高级别,0
‘00019832,718,103,8,0.441581109,0.68186961,低级别,0
‘00019833,744,3,11,0.728134111,0.946758703,低级别,0
‘00019834,713,291,22,0.809080326,0.832056427,低级别,1
‘00019835,709,21,25,0.814987952,0.706031807,低级别,0
‘00019836,767,602,5,0.37866266,0.693764087,低级别,1
‘00019837,707,166,5,0.819702223,0.597772792,低级别,0
‘00019838,703,477,4,0.454143933,0.487776046,低级别,1
‘00019839,693,75,18,0.855669451,0.762100734,低级别,0
‘00019840,691,133,4,0.45872156,0.674628386,低级别,0
‘00019841,691,509,4,0.449409348,0.669037836,低级别,1
‘00019842,692,649,6,1.255074627,1,低级别,1
‘00019843,690,86,15,0.631033266,0.676132533,低级别,0
‘00019844,686,5,2,0.778343023,0.765,低级别,0
‘00019845,685,4,24,0.58238379,0.604200049,低级别,0
‘00019846,685,638,2,0.494744219,0.519989488,低级别,1
‘00019847,685,30,12,0.488055531,0.715731542,低级别,0
‘00019848,681,144,6,0.676548908,0.687498669,低级别,0
‘00019849,852,26,32,0.540211323,0.605165182,低级别,0
‘00019850,672,80,3,0.825787106,0.889175412,低级别,0
‘00019852,664,135,6,0.601361834,0.676637649,低级别,0
‘00019853,660,43,10,0.608891694,0.65223104,低级别,0
‘00019854,729,17,9,0.618434036,0.679058564,低级别,0
‘00019855,654,443,3,0.603822763,0.639820446,低级别,1
‘00019856,656,269,5,0.964999628,0.875997622,低级别,1
‘00019857,649,22,42,0.758987021,0.789590686,中等级别,0
‘00019858,650,39,11,0.577939266,0.628108186,低级别,0
‘00019859,650,465,4,0.62979076,0.619857054,低级别,1
‘00019861,646,1,30,0.770871247,0.851998408,中等级别,0
‘00019862,646,535,5,0.690905324,0.609395069,低级别,1
‘00019863,645,185,3,0.44875,0.534271429,低级别,0
‘00019864,649,131,15,0.534596211,0.815587238,低级别,0
‘00019865,641,57,10,0.811231713,0.862052855,低级别,0
‘00019866,636,501,2,0.901669759,1,低级别,1
‘00019867,693,241,2,0.874971481,0.759048597,低级别,1
‘00019868,635,81,4,0.459328649,0.71929274,低级别,0
‘00019869,655,472,2,0.497277677,0.492763158,低级别,1
‘00019870,629,466,2,0.682624113,0.7,低级别,1
‘00019872,809,44,14,0.819172932,0.842142857,低级别,0
‘00019873,656,63,43,0.867866005,0.900012981,中等级别,1
‘00019874,627,397,2,0.235251538,0.450271444,低级别,1
‘00019875,626,410,6,0.448864768,0.791774547,低级别,1
‘00019876,626,88,12,0.571449803,0.599728023,低级别,0
‘00019878,623,216,10,0.468346065,0.657636594,低级别,1
‘00019879,679,115,9,0.597342102,0.748335388,低级别,0
‘00019880,620,419,6,0.541142243,0.644554424,低级别,1
‘00019881,644,81,20,0.806231774,0.907585901,高级别,0
‘00019882,618,12,8,0.562144886,0.655677379,低级别,0
‘00019884,617,181,6,0.520503629,0.600124158,低级别,1
‘00019885,617,113,11,0.480894828,0.648111253,低级别,1
‘00019886,618,49,6,0.500841751,0.569911616,低级别,0
‘00019887,616,32,13,0.43134276,0.820753769,低级别,0
‘00019888,616,231,2,0.56321474,0.621216645,低级别,0
‘00019889,617,201,3,0.790114068,0.795779468,低级别,0
‘00019890,615,296,5,0.652232024,0.740451751,低级别,1
‘00019891,613,15,5,0.403475936,0.435117647,低级别,0
‘00019892,611,24,12,0.47978518,0.766171253,低级别,0
‘00019893,609,9,15,0.574761343,0.575884908,低级别,0
‘00019894,609,152,8,0.719485904,0.751810116,低级别,0
‘00019895,611,337,5,0.694842844,0.755477571,低级别,1
‘00019897,612,100,6,0.595854201,0.614425431,低级别,0
‘00019898,608,420,3,1.28610729,0.981017882,低级别,1
‘00019899,606,596,2,0.771965465,0.938225834,低级别,1
‘00019900,607,13,23,0.698995042,0.818662736,低级别,0
‘00019901,604,110,3,0.872018739,0.889586882,低级别,0
‘00019903,602,77,25,0.440588825,0.47722775,低级别,0
‘00019904,601,389,2,0.643086817,0.625,低级别,1
‘00019905,600,476,3,0.25782881,0.70736952,低级别,1
‘00019906,600,5,44,0.666049987,0.672575647,中等级别,0
‘00019907,599,3,10,0.85930523,0.91413078,高级别,0
‘00019908,597,355,5,0.895471858,0.908887008,低级别,1
‘00019909,606,563,2,0.435379061,0.45,低级别,1
‘00019910,595,21,4,0.596040768,0.673147785,低级别,0
‘00019911,595,188,6,0.406090724,0.415,低级别,0
‘00019912,595,518,3,0.833988641,0.766666667,低级别,1
‘00019913,593,66,8,1.161906357,1.312946645,高级别,0
‘00019914,591,268,6,0.502378828,0.578908712,低级别,1
‘00019915,589,576,2,0.592283629,0.8,低级别,1
‘00019916,589,107,4,0.377894737,0.394157895,低级别,0
‘00019918,587,135,3,0.749574106,0.883723091,低级别,0
‘00019919,588,20,7,0.707562748,0.665029723,低级别,0
‘00019920,586,565,2,0.391437309,0.4,低级别,1
‘00019921,582,43,2,0.761090909,0.775,低级别,1
‘00019922,584,17,32,0.498115667,0.78888366,低级别,0
‘00019923,580,450,2,0.468882175,0.479637462,低级别,1
‘00019924,631,603,2,0.515042511,1.03,低级别,1
‘00019925,578,496,2,0.626934985,0.644478844,低级别,1
‘00019926,578,263,6,0.952480574,0.757262403,低级别,1
‘00019927,576,16,8,0.854181818,0.869128485,低级别,0
‘00019929,575,431,4,0.520163647,0.7106955,低级别,1
‘00019930,574,45,7,0.348358375,0.357025042,低级别,0
‘00019931,572,396,3,0.446969697,0.45,低级别,1
‘00019932,568,40,6,0.644555107,0.673518745,低级别,0
‘00019933,569,262,8,0.568283917,0.78622342,低级别,1
‘00019934,567,141,5,0.478728857,0.595224244,低级别,1
‘00019935,704,537,5,0.313599429,0.389994642,低级别,1
‘00019936,567,247,2,0.809905317,0.463088128,低级别,0
‘00019938,569,360,7,0.61656051,0.716687898,低级别,1
‘00019939,560,498,3,0.847911093,1,低级别,1
‘00019940,554,267,7,0.350250912,0.415766423,低级别,1
‘00019941,553,15,22,0.785433648,0.787833226,低级别,0
‘00019942,553,41,5,0.539813953,0.712,低级别,0
‘00019943,552,135,7,0.479767103,0.503176128,低级别,0
‘00019944,552,64,2,0.459168337,0.543131263,低级别,1
‘00019945,552,225,5,0.787452471,0.806338403,低级别,1
‘00019947,550,187,13,0.780361757,0.751113831,低级别,1
‘00019948,540,94,11,0.587108201,0.669307106,低级别,0
‘00019949,543,248,3,0.696362448,0.725271183,低级别,1
‘00019950,539,181,4,0.454435204,0.514922037,低级别,0
‘00019952,538,31,3,0.679301746,0.495775561,低级别,0
‘00019953,560,312,3,0.585117967,0.604682396,低级别,1
‘00019954,548,18,30,0.891844809,0.927065371,低级别,0
‘00019955,536,366,2,0.248618785,0.271450276,低级别,1
‘00019956,720,438,3,0.441245205,0.483333333,低级别,1
‘00019957,536,192,2,0.442760181,0.568552036,低级别,0
‘00019958,532,292,2,0.880468269,0.867781885,低级别,1
‘00019960,529,65,5,0.34272997,0.644136499,低级别,0
‘00019961,532,455,2,0.515042511,1.03,低级别,1
‘00019962,526,9,11,0.617803923,0.912206573,中等级别,0
‘00019963,527,102,4,0.342003515,0.315641476,低级别,0
‘00019964,581,89,2,0.700191571,0.739918582,高级别,1
‘00019966,522,31,14,0.927950311,0.927857143,低级别,0
‘00019967,520,140,10,0.670614308,0.727792783,低级别,1
‘00019968,514,67,15,0.566355052,0.59010241,低级别,0
‘00019969,512,29,9,0.646999221,0.591006235,低级别,0
‘00019970,512,470,2,0.475035679,0.599184652,低级别,1
‘00019971,574,28,4,0.634263242,0.821442792,低级别,0
‘00019972,656,4,12,0.806648248,1.036792089,高级别,0
‘00019974,508,99,11,0.750632733,0.841425056,低级别,1
‘00019975,508,228,2,0.686374741,0.78593765,低级别,1
‘00019976,501,86,3,0.279870462,0.432825976,低级别,0
‘00019977,497,111,3,0.46917586,0.523270604,低级别,0
‘00019978,497,17,43,0.602636937,0.672575855,低级别,0
‘00019979,497,9,3,0.559738458,0.936666667,低级别,0
‘00019980,495,63,5,0.745204882,0.847159983,低级别,0
‘00019981,496,470,2,0.49694967,0.575,低级别,1
‘00019982,494,2,16,0.414652664,0.483813742,低级别,0
‘00019983,522,12,3,0.751906457,0.87,低级别,0
‘00019984,491,8,16,0.743393117,0.74715001,低级别,0
‘00019985,490,2,19,1.396168347,1.368311149,中等级别,0
‘00019986,490,42,6,0.70072432,0.759896839,低级别,0
‘00019987,489,484,2,0.737451737,0.651891892,低级别,1
‘00019988,487,6,39,0.530710383,0.551657049,中等级别,0
‘00019989,481,284,5,0.551540799,0.629144965,低级别,1
‘00019990,483,112,6,0.634656729,0.713253547,低级别,0
‘00019992,476,9,12,0.449117784,0.68551037,低级别,0
‘00019993,476,202,4,0.562706581,0.62671588,低级别,1
‘00019994,481,5,23,0.861192735,1.432148434,中等级别,0
‘00019995,474,38,6,0.54754163,0.626563208,低级别,0
‘00019997,471,327,3,0.632867989,0.6658217,低级别,1
‘00019999,472,76,5,0.35812944,0.768,低级别,0
‘00020000,469,173,5,0.953680203,0.93054357,低级别,1
‘00020001,467,154,5,0.469047939,0.524604539,低级别,0
‘00020002,467,19,18,1.054562384,0.683632682,低级别,0
‘00020004,467,35,8,1.127653498,1.040202761,高级别,0
‘00020005,463,34,4,0.469694228,0.594183101,中等级别,0
‘00020007,469,82,3,0.462397304,0.512652201,低级别,0
‘00020008,469,26,2,0.400621118,0.428757764,低级别,1
‘00020009,458,156,2,0.878594249,0.815963791,低级别,1
‘00020010,454,18,12,1.078332493,0.761666667,低级别,0
‘00020011,453,402,2,0.728004022,0.8,低级别,1
‘00020012,452,59,10,0.237284727,0.564439833,低级别,0
‘00020013,452,3,40,0.596883457,0.679356352,高级别,0
‘00020015,449,110,8,0.645488965,0.695919291,低级别,0
‘00020017,449,227,5,0.40239726,0.50058953,低级别,1
‘00020018,451,11,18,0.610731766,0.715526618,低级别,0
‘00020019,446,215,2,0.326783555,0.34,低级别,0
‘00020020,446,416,2,0.710843373,0.65,低级别,1
‘00020021,442,226,2,0.541370394,0.67,低级别,1
‘00020022,441,408,2,0.355142941,0.5,低级别,1
‘00020023,459,57,2,0.989142237,1.06971046,低级别,0
‘00020025,447,429,4,0.87668223,0.833287558,低级别,1
‘00020026,439,64,9,0.450930893,0.797085306,低级别,0
‘00020027,438,261,3,0.772833724,0.584293521,低级别,1
‘00020028,437,104,3,0.70323741,0.778597122,低级别,0
‘00020029,435,71,2,0.798698952,0.904987351,低级别,0
‘00020030,435,298,4,0.564631245,0.655391224,低级别,1
‘00020031,435,29,19,0.627389512,0.698910962,低级别,0
‘00020032,435,35,12,0.701103971,0.699892898,低级别,0
‘00020033,434,179,4,0.613236079,0.675730297,低级别,0
‘00020034,433,259,7,1.35052979,0.887733773,低级别,1
‘00020035,433,38,4,0.458188396,0.508625296,低级别,0
‘00020036,434,45,5,0.648486621,0.686196812,低级别,0
‘00020037,431,74,7,0.862279098,0.932923827,低级别,0
‘00020038,431,404,2,0.432130147,0.5,低级别,1
‘00020039,518,45,5,0.639104478,0.734,低级别,0
‘00020040,431,78,3,0.281506952,0.333299447,低级别,0
‘00020041,430,49,2,0.868217054,0.875,低级别,1
‘00020042,426,358,3,0.956996587,0.910716724,低级别,1
‘00020043,426,128,2,0.895943563,0.77,低级别,1
‘00020044,425,13,25,0.709130974,0.792262774,中等级别,0
‘00020045,426,41,3,0.386036265,0.446666667,低级别,0
‘00020046,426,217,2,0.363350785,0.39,低级别,1
‘00020047,497,3,19,0.48730422,0.529835637,低级别,0
‘00020048,424,13,13,0.761270401,0.660411116,低级别,0
‘00020050,421,73,2,0.330799411,0.39,低级别,0
‘00020051,419,266,2,0.628428928,0.813710723,低级别,1
‘00020052,418,212,2,0.493048128,0.49,低级别,1
‘00020053,565,371,7,0.669583728,0.585714286,低级别,1
‘00020054,414,20,8,0.374001775,0.40109472,低级别,0
‘00020055,400,16,4,0.6756393,0.647151189,低级别,0
‘00020056,400,75,12,0.567183247,0.654053213,低级别,0
‘00020057,400,195,3,1.311538462,0.748173077,低级别,1
‘00020058,399,78,2,0.629694019,0.691168289,低级别,0
‘00020059,399,101,5,0.500062602,0.57266433,低级别,0
‘00020060,401,6,7,0.827136334,0.808799739,低级别,0
‘00020063,402,34,17,0.864667517,0.876450447,低级别,0
‘00020064,416,86,2,0.362011638,0.630685786,低级别,0
‘00020065,397,212,3,0.518034056,0.816628483,低级别,1
‘00020066,416,111,3,0.26929701,0.316666667,低级别,0
‘00020067,396,40,4,0.58973747,0.670250597,低级别,0
‘00020068,415,24,5,0.441316992,0.547319277,低级别,0
‘00020069,414,19,2,0.5382263,0.55,低级别,0
‘00020070,414,109,4,0.579542958,0.665858053,低级别,0
‘00020071,404,69,4,0.485126927,0.515999066,低级别,1
‘00020072,404,266,2,0.82111437,0.92,低级别,1
‘00020073,413,14,18,0.68665603,0.733654512,中等级别,0
‘00020074,396,67,12,0.266678771,0.732853134,低级别,0
‘00020075,405,138,5,0.476292183,0.455207176,低级别,1
‘00020077,409,221,2,0.263652714,0.74,低级别,1
‘00020078,393,143,7,0.454281099,0.410615509,低级别,1
‘00020079,393,182,4,1.123413567,0.711997812,低级别,1
‘00020081,395,177,6,0.85664579,0.621666667,低级别,1
‘00020082,412,393,2,0.521967526,0.6,低级别,1
‘00020083,420,2,44,0.805473215,0.80352439,高级别,0
‘00020084,391,60,2,0.654904728,0.769717713,低级别,1
‘00020086,387,51,4,0.660447761,0.5775,低级别,0
‘00020087,386,72,15,0.999553771,0.933333333,低级别,1
‘00020088,386,156,4,0.643142068,0.798514882,低级别,0
‘00020089,422,4,52,0.449591498,0.655099568,中等级别,0
‘00020090,449,249,4,0.394440362,0.556682586,低级别,1
‘00020091,385,113,2,0.694725028,0.700802469,低级别,1
‘00020094,382,225,3,0.855852601,0.915014451,低级别,1
‘00020095,383,30,7,0.351846106,0.396227118,低级别,0
‘00020096,379,60,19,0.572868016,0.623957793,低级别,0
‘00020098,378,4,38,0.640039511,0.678333011,中等级别,0
‘00020099,377,148,3,0.954909397,0.928377581,低级别,1
‘00020101,403,6,20,0.719707954,0.73917616,低级别,0
‘00020102,453,121,7,0.854768237,0.742416413,低级别,1
‘00020103,380,6,10,0.649226656,0.74854831,低级别,0
‘00020104,374,330,2,0.723460026,0.8,低级别,1
‘00020105,380,118,5,0.35188453,0.555534139,低级别,0
‘00020106,379,288,3,0.453171091,0.476666667,低级别,1
‘00020107,368,261,2,0.643533253,0.775,低级别,1
‘00020108,369,15,12,0.673789889,0.628741484,中等级别,0
‘00020109,382,213,3,0.73771703,0.810694496,低级别,1
‘00020110,467,248,5,0.322990772,0.621794806,低级别,1
‘00020111,369,161,3,0.664602347,0.643481095,低级别,1
‘00020112,369,135,2,0.629382889,0.66,低级别,1
‘00020113,372,72,5,0.813910546,0.812923677,低级别,0
‘00020114,3430,253,8,0.58575425,0.601683882,低级别,1
‘00020115,3424,4,25,0.737236022,0.80189538,低级别,0
‘00020116,3420,1,107,0.652773073,0.710868219,高级别,0
‘00020117,3417,9,107,0.558256259,0.619739087,高级别,0
‘00020118,3417,19,9,0.756953575,0.804934763,低级别,0
‘00020119,3414,33,84,0.81657324,0.8915401,高级别,0
‘00020120,3413,114,9,0.661927202,0.674333767,低级别,0
‘00020122,3410,2,82,0.69262487,0.704230722,高级别,0
‘00020123,3410,78,5,0.822304713,0.852680762,低级别,0
‘00020124,3407,308,17,0.301936688,0.606047289,低级别,1
‘00020125,3406,120,8,0.425886824,0.789173353,低级别,0
‘00020126,3403,46,32,0.631369169,0.659989228,低级别,0
‘00020127,3403,12,13,0.892500687,0.845529713,低级别,0
‘00020128,3432,110,15,0.590750436,0.653922962,低级别,0
‘00020129,3424,34,5,0.865977922,0.873945655,低级别,0
‘00020130,3414,4,7,0.625356667,0.664133536,低级别,0
‘00020131,3417,18,122,0.610793341,0.68017726,高级别,0
‘00020132,3413,42,16,0.789629217,0.75387622,低级别,0
‘00020133,3408,404,2,0.831804281,0.85,低级别,1
‘00020134,3397,95,6,0.412827782,0.676666667,低级别,0
‘00020135,3403,7,65,0.755256571,0.739965426,中等级别,0
‘00020136,3402,6,15,0.724181106,0.806855285,低级别,0
‘00020137,3401,25,24,0.536155875,0.657291532,中等级别,0
‘00020138,3386,69,13,0.791682911,0.810251462,低级别,0
‘00020139,3398,1,50,0.956919902,0.867752268,中等级别,0
‘00020140,3392,80,3,0.324050633,0.370141049,低级别,0
‘00020141,3382,171,5,0.666604022,0.660411577,低级别,0
‘00020142,3381,68,41,0.71156246,0.829597085,中等级别,0
‘00020143,3392,40,25,0.578536173,0.657548442,低级别,0
‘00020144,3386,114,49,1.341518284,1.350911443,高级别,1
‘00020145,3389,521,6,1.033499122,1.047878877,低级别,1
‘00020146,3393,102,50,0.910334037,0.940822029,低级别,1
‘00020147,3398,126,15,0.584341184,0.68557253,低级别,0
‘00020148,3401,20,13,0.309311168,0.419427005,低级别,0
‘00020149,3390,597,3,0.494188749,0.566666667,低级别,1
‘00020150,3375,1,20,1.108597604,1.413274841,高级别,0
‘00020151,3380,48,2,1.333575054,1.134517766,低级别,0
‘00020152,3378,666,2,0.709480122,0.725,低级别,1
‘00020153,3368,18,42,0.885054981,0.937671488,中等级别,0
‘00020154,3380,176,32,0.662667897,0.627399433,低级别,1
‘00020155,3390,32,6,0.349610176,0.534429627,低级别,0
‘00020156,3378,361,5,0.155616676,0.650419803,低级别,1
‘00020157,3388,14,39,1.195207971,1.427421952,高级别,0
‘00020158,3378,5,51,0.522203885,0.548864899,低级别,0
‘00020159,3378,420,6,0.326818675,0.604472563,低级别,1
‘00020160,3373,39,61,0.946770943,0.969567863,高级别,0
‘00020161,3374,3,4,0.892251131,0.916832579,低级别,0
‘00020162,3422,236,20,0.487779145,0.523694391,低级别,1
‘00020163,3362,28,16,0.571535918,0.681838744,低级别,0
‘00020164,3392,184,2,0.699541284,0.715,低级别,0
‘00020165,3387,11,27,1.215510622,1.235481614,低级别,0
‘00020166,3373,4,28,0.800384326,0.820513906,低级别,0
‘00020168,3364,17,20,0.608056364,0.732165212,低级别,0
‘00020169,3378,429,21,0.642329164,0.72982141,低级别,1
‘00020170,3373,267,24,0.467255125,0.644834852,低级别,1
‘00020171,3368,24,37,0.690658983,0.733452012,低级别,0
‘00020172,3368,106,11,0.355554395,0.684908123,低级别,1
‘00020173,3356,16,40,0.709765139,0.926317142,高级别,0
‘00020174,3358,86,17,0.723909703,0.759151991,低级别,0
‘00020175,3355,1,19,1.428310631,1.454210083,中等级别,0
‘00020176,3349,38,42,0.731842775,0.76920205,低级别,0
‘00020177,3347,7,24,0.494476569,0.733356348,高级别,0
‘00020178,3352,53,16,1.021669878,0.961530656,低级别,0
‘00020179,3352,131,16,0.713937707,0.703348414,低级别,1
‘00020180,3353,8,2,0.601847229,0.700956066,低级别,0
‘00020181,3377,4,24,0.505565809,0.550411524,低级别,0
‘00020182,3356,28,18,0.457874922,0.631318396,低级别,0
‘00020183,3353,5,18,0.579985575,0.668951677,低级别,0
‘00020184,3350,28,7,0.493552022,0.516682108,低级别,0
‘00020185,3345,72,15,0.445982467,0.472349219,低级别,0
‘00020186,3351,224,16,0.555395051,0.51219696,低级别,1
‘00020187,3346,4,81,0.692232648,0.718119985,中等级别,0
‘00020188,3347,37,3,1.724224644,1.479744342,低级别,0
‘00020189,3342,19,43,1.377384697,0.78636995,低级别,0
‘00020190,3347,362,2,0.335170893,0.337835355,低级别,1
‘00020191,3343,126,10,0.598461981,0.655076901,低级别,1
‘00020192,3347,445,3,0.744535519,0.7,低级别,1
‘00020193,3342,13,14,0.705187131,0.72102889,低级别,0
