MEMBER_NO,L,R,F,M,C,D
‘00010359,1474,256,8,0.615240576,0.63919645,低级别
‘00010360,1440,50,10,0.417835965,0.612681266,低级别
‘00010361,1436,71,11,0.4145157,0.986014502,低级别
‘00010362,1448,162,7,0.823631892,0.856702193,低级别
‘00010363,1454,7,16,0.449924907,0.637433141,低级别
‘00010364,1424,76,5,0.746496419,0.867856327,低级别
‘00010366,1404,100,16,1.197059591,1.453925544,低级别
‘00010367,1408,58,2,0.375301689,0.823761062,低级别
‘00010369,1409,144,6,0.819372197,0.983856502,低级别
‘00010370,1392,20,17,0.429657795,0.562663709,低级别
‘00010371,1391,32,18,0.813093839,0.916739298,低级别
‘00010372,1391,19,9,0.610918271,0.672422689,低级别
‘00010374,1384,18,24,0.521235885,0.57990872,低级别
‘00010376,1374,33,3,0.576909662,0.68399721,低级别
‘00010377,1372,31,12,0.590146138,0.622597912,低级别
‘00010378,1368,11,19,0.52553934,0.57613769,低级别
‘00010379,1366,74,36,0.370509927,0.431992428,低级别
‘00010381,1362,28,40,0.610405974,0.650919602,中等级别
‘00010383,1358,133,4,0.709139229,0.788801122,低级别
‘00010385,1352,33,17,0.618568564,0.706267219,低级别
‘00010386,1346,108,15,0.474340321,0.668846968,低级别
‘00010387,1322,23,34,0.610352689,0.684644227,低级别
‘00010390,1334,74,8,0.471193988,0.787137026,低级别
‘00010391,1307,55,20,0.453807135,0.604394212,低级别
‘00010392,1332,45,8,0.373543755,0.433664319,低级别
‘00010394,1504,25,9,0.537275362,0.611406957,低级别
‘00010395,1308,281,4,0.493231047,0.555917569,中等级别
‘00010396,1330,125,13,0.716954694,0.719274705,低级别
‘00010399,1329,34,10,0.662124418,0.677503174,低级别
‘00010402,1301,38,22,0.695826053,0.693330615,低级别
‘00010403,1325,4,19,0.456757078,0.838934987,低级别
‘00010405,1299,26,18,0.17781452,0.772093417,低级别
‘00010407,1311,6,28,0.567280304,0.600828938,中等级别
‘00010409,1289,155,14,0.884050155,0.681926655,低级别
‘00010413,1358,222,4,0.323069782,0.809395018,低级别
‘00010414,1284,80,19,0.670812061,0.635667845,低级别
‘00010419,1284,86,9,0.595708041,0.70133064,低级别
‘00010420,1282,12,53,0.734355171,0.747226535,中等级别
‘00010423,1282,29,19,0.598065285,0.608685586,低级别
‘00010424,1282,191,6,0.547064908,0.857344194,低级别
‘00010428,1280,93,6,0.912251656,0.798333333,低级别
‘00010429,1292,233,10,0.627572335,0.652643509,低级别
‘00010430,1262,182,4,0.253433617,0.75,低级别
‘00010433,1257,104,23,0.864457156,0.876519179,低级别
‘00010436,1239,132,6,0.376788553,0.49564966,低级别
‘00010438,1238,65,7,0.60947347,0.625492986,低级别
‘00010441,1233,10,3,0.859678314,0.743333333,低级别
‘00010444,1245,49,28,0.987258599,0.829842875,中等级别
‘00010445,1223,94,6,0.504311832,0.467850983,低级别
‘00010446,1220,254,5,0.611978151,0.63283652,低级别
‘00010447,1238,116,3,0.404186321,0.464150943,低级别
‘00010448,1219,21,12,0.529642717,0.626766294,低级别
‘00010449,1221,173,4,0.434308749,0.450641983,低级别
‘00010451,1215,12,7,0.571261806,0.623311047,低级别
‘00010453,1217,167,4,0.53434992,0.542974318,低级别
‘00010454,1212,186,10,0.695143318,0.864687785,低级别
‘00010455,1211,15,6,0.926899188,0.927976589,低级别
‘00010456,1198,143,2,0.285027252,0.35,低级别
‘00010457,1196,23,11,0.508969068,0.60404078,低级别
‘00010458,1295,110,24,0.779668863,1.204280268,低级别
‘00010459,1193,80,11,0.599939705,0.728322581,低级别
‘00010472,1169,135,7,0.628366949,0.717038386,低级别
‘00010475,1181,51,8,3.497961957,0.90375,低级别
‘00010476,1104,118,10,0.693482411,0.767310245,低级别
‘00010477,1107,96,4,0.293385827,0.56779685,低级别
‘00010478,1121,28,3,0.593464884,0.74,低级别
‘00010481,1102,142,9,0.862710708,0.885029718,低级别
‘00010483,1099,88,20,0.507255814,0.708988837,低级别
‘00010484,1097,69,8,0.792175621,0.892734262,低级别
‘00010485,1086,84,21,0.735950731,0.726537721,低级别
‘00010486,1085,5,5,0.298832187,0.597274036,低级别
‘00010487,1085,186,6,0.5992339,0.625897774,低级别
‘00010489,1083,1,42,0.758962257,0.773845391,中等级别
‘00010490,1082,80,14,0.459063205,0.680823295,低级别
‘00010495,1071,132,5,0.675872093,0.661486192,低级别
‘00010497,1122,4,31,0.605891356,0.637868478,低级别
‘00010498,1278,20,72,0.731681623,0.780282142,中等级别
‘00010499,1072,10,20,0.66913062,0.736805682,低级别
‘00010503,1052,345,4,0.592883436,0.58795092,低级别
‘00010504,1051,15,12,0.441912239,0.592377995,低级别
‘00010506,1048,100,9,0.432073206,0.578783901,低级别
‘00010507,1134,23,3,1.075109868,1.094638434,低级别
‘00010510,1035,24,68,0.814123821,0.817760172,高级别
‘00010515,1019,135,6,0.710282343,0.710507796,低级别
‘00010517,1022,2,31,0.965875301,0.901355076,低级别
‘00010518,1001,50,10,0.662558718,0.72874551,低级别
‘00010521,994,14,15,0.490808334,0.584833484,低级别
‘00010523,1127,193,5,0.603393982,0.746147656,低级别
‘00010525,988,2,59,0.726064986,0.791726947,高级别
‘00010526,988,15,36,0.666501647,0.713576272,低级别
‘00010527,1005,227,2,0.932013448,0.937302951,低级别
‘00010530,985,128,4,0.512257406,0.561474293,低级别
‘00010531,973,120,20,0.471868706,0.450279385,低级别
‘00010533,971,40,15,0.505434109,0.675387826,低级别
‘00010535,966,192,5,0.573529412,0.695753501,低级别
‘00010537,960,93,3,0.807160293,0.753685924,低级别
‘00010538,980,28,16,0.628094292,0.694833271,低级别
‘00010539,979,118,8,0.750699608,0.77851763,低级别
‘00010540,953,24,38,0.72314922,0.739906922,中等级别
‘00010542,999,108,16,0.765512236,0.897381365,低级别
‘00010545,948,14,40,0.675810167,0.738475196,低级别
‘00010546,944,39,11,0.894839238,0.872026418,低级别
‘00010547,947,102,22,0.685820204,0.754218293,低级别
‘00010548,1114,56,10,0.797714879,0.80797585,低级别
‘00010550,939,132,4,0.351708002,0.433874591,低级别
‘00010552,925,8,6,0.927741681,0.92415633,低级别
‘00010555,934,282,4,0.764866882,0.747220702,低级别
‘00010557,931,274,3,0.844103393,0.830880452,低级别
‘00010558,983,33,7,0.675526024,0.722857143,低级别
‘00010559,909,150,6,0.398187535,0.452742741,低级别
‘00010562,903,10,42,0.613043554,0.675833435,中等级别
‘00010565,894,21,6,0.501664447,0.584417443,低级别
‘00010566,924,91,19,0.624971594,0.680879784,低级别
‘00010568,891,22,22,0.216146123,0.744960913,低级别
‘00010569,915,180,7,1.237421277,1.470739487,低级别
‘00010572,889,26,10,0.48547879,0.692133086,低级别
‘00010573,885,43,22,0.687433503,0.74165189,低级别
‘00010577,881,50,12,0.528603879,0.688496243,低级别
‘00010578,881,1,28,0.672089882,0.692344057,低级别
‘00010579,881,4,66,0.73134561,0.726523239,中等级别
‘00010583,871,184,4,0.417977528,0.390176565,低级别
‘00010584,867,100,17,0.608892439,0.637097089,低级别
‘00010586,865,4,15,0.691513247,0.785197326,低级别
‘00010588,853,42,4,0.746918336,0.6925,低级别
‘00010590,854,29,23,0.444697947,0.823190904,低级别
‘00010593,851,295,2,0.77894277,0.779750983,低级别
‘00010595,849,56,2,0.630123457,0.715585185,低级别
‘00010596,840,33,36,1.36076926,1.187838997,中等级别
‘00010601,827,13,3,0.305916728,0.33993718,低级别
‘00010604,876,34,5,0.739145782,0.929302859,低级别
‘00010605,817,75,13,0.677926526,0.800995745,低级别
‘00010606,815,73,10,0.327617542,0.378885816,低级别
‘00010608,813,37,20,0.585447196,0.82367273,低级别
‘00010609,813,5,7,0.66135103,0.838822306,低级别
‘00010611,810,140,4,0.51194354,0.538982085,低级别
‘00010613,804,165,14,0.488570847,0.701832734,低级别
‘00010614,802,55,8,0.827440131,0.668244143,高级别
‘00010620,786,57,22,0.638659738,0.727478286,低级别
‘00010624,777,33,30,0.695360175,0.664045273,低级别
‘00010625,786,66,6,0.846795435,0.750460931,低级别
‘00010626,778,37,8,0.540050419,0.569849557,低级别
‘00010627,770,111,20,0.364203645,0.742526248,低级别
‘00010628,771,151,9,0.717835637,0.803155797,低级别
‘00010630,770,145,6,0.547652363,0.610912624,低级别
‘00010632,769,197,3,0.615956458,0.846674632,低级别
‘00010637,776,7,56,0.777607483,0.761637585,中等级别
‘00010639,774,100,5,0.301801802,0.445738046,低级别
‘00010641,763,1,10,0.397399162,0.688956726,低级别
‘00010642,769,4,2,0.693824405,0.711428571,低级别
‘00010644,762,162,10,0.664858348,0.727334991,低级别
‘00010646,756,11,7,0.607079226,0.711748426,低级别
‘00010648,760,57,2,0.607208029,0.64,低级别
‘00010649,743,6,5,0.368915457,0.432,低级别
‘00010650,742,293,4,0.281109445,0.4375,低级别
‘00010651,748,227,2,0.793707544,0.916371112,低级别
‘00010652,1083,44,4,0.604066023,0.64180153,高级别
‘00010653,741,47,12,0.651201184,0.714554822,低级别
‘00010659,778,34,9,0.620399251,0.590925348,低级别
‘00010662,727,14,7,0.671223629,0.632756118,低级别
‘00010663,727,83,9,0.754468045,0.869055862,低级别
‘00010664,728,45,8,0.338772948,0.741875098,低级别
‘00010666,720,35,10,0.442308722,0.643722225,低级别
‘00010667,741,143,6,0.484692458,0.476100751,低级别
‘00010675,711,90,4,0.526001941,0.605046457,低级别
‘00010677,710,46,9,0.476034666,0.647938628,低级别
‘00010678,814,45,13,0.68513324,0.718461538,低级别
‘00010680,700,21,18,0.37143349,0.825243362,低级别
‘00010681,701,15,24,0.728489618,0.711689211,低级别
‘00010682,798,175,6,0.542562234,0.723084396,低级别
‘00010683,693,177,3,0.744562287,0.798342621,低级别
‘00010688,687,18,8,0.679863903,0.686776987,低级别
‘00010689,686,47,6,0.586552516,0.608475673,低级别
‘00010691,684,77,18,0.610531309,0.694489643,高级别
‘00010693,683,21,2,0.789452167,0.810228945,低级别
‘00010694,676,48,7,0.621033983,0.688571429,低级别
‘00010696,835,120,7,0.271564241,0.773121419,低级别
‘00010697,672,2,10,0.85763639,0.739127681,低级别
‘00010700,660,51,5,0.764604317,0.697404317,低级别
‘00010702,659,107,5,0.436114108,0.592703464,低级别
‘00010705,656,96,4,0.374164487,0.41853095,低级别
‘00010706,652,204,3,0.511842633,0.611568313,低级别
‘00010707,644,89,6,0.506800518,0.599654307,低级别
‘00010708,643,122,11,0.499466382,0.578360338,低级别
‘00010709,641,2,41,0.708264364,0.749917066,中等级别
‘00010710,639,46,5,0.469037087,0.777393671,低级别
‘00010711,636,32,10,0.71287187,0.525319588,低级别
‘00010712,636,50,4,0.449848024,0.558926672,低级别
‘00010713,634,11,13,0.202024291,0.231798381,低级别
‘00010716,630,122,10,0.315431165,0.520488317,低级别
‘00010718,662,146,7,0.489376771,0.561550992,低级别
‘00010721,629,4,12,0.585280865,0.769429258,低级别
‘00010725,617,73,4,0.60566558,0.705758335,低级别
‘00010726,616,206,3,0.580866966,0.768816143,低级别
‘00010727,618,45,5,0.507696066,0.604422184,低级别
‘00010733,606,1,7,0.330301928,0.532988966,低级别
‘00010735,605,54,5,0.533673469,0.587389213,低级别
‘00010736,603,27,4,0.686998855,0.645,低级别
‘00010739,601,91,10,0.326733074,0.730743845,低级别
‘00010740,611,152,6,0.838440652,0.818813033,低级别
‘00010741,600,122,7,0.536876585,0.615251479,低级别
‘00010743,599,46,6,0.244305891,0.316783306,低级别
‘00010745,596,32,5,0.433633493,0.61449655,低级别
‘00010746,596,176,6,0.389699571,0.597187615,低级别
‘00010748,595,49,9,0.859293067,0.88987182,低级别
‘00010750,594,28,10,0.634482759,0.795668154,低级别
‘00010751,592,56,8,0.614864865,0.648456695,低级别
‘00010752,591,44,6,0.660491168,0.554000431,低级别
‘00010753,589,16,6,0.496521013,0.620258837,低级别
‘00010754,589,86,7,0.524334016,0.571725581,低级别
‘00010755,588,55,5,0.390162975,0.482884747,低级别
‘00010756,588,4,24,0.437947123,0.722797512,低级别
‘00010758,583,236,3,0.585606061,0.622643939,低级别
‘00010759,585,82,21,0.877521614,0.912487992,低级别
‘00010761,582,4,15,0.39600551,0.492871556,低级别
‘00010764,578,113,7,0.894904459,0.588030377,低级别
‘00010765,578,53,3,0.443312997,0.773301585,低级别
‘00010767,575,138,4,1.257224841,1.373045706,低级别
‘00010769,598,35,14,0.429801749,0.631262116,低级别
‘00010770,678,14,20,0.593535774,0.684548317,低级别
‘00010771,573,132,7,0.537235697,0.729747357,低级别
‘00010773,558,44,5,0.69422264,0.730155002,低级别
‘00010774,557,165,9,0.792311857,0.8829464,低级别
‘00010775,553,131,4,0.962897527,0.76445583,低级别
‘00010776,553,1,16,0.698540784,0.686449465,低级别
‘00010779,550,43,4,0.469700103,0.672156153,低级别
‘00010781,540,44,7,0.696249833,0.652984119,低级别
‘00010784,539,42,9,0.328853928,0.334444444,低级别
‘00010786,538,5,17,0.414855697,0.685190296,低级别
‘00010788,537,114,6,0.267140535,0.543151117,低级别
‘00010789,537,43,18,0.52476151,0.554533803,低级别
‘00010790,536,83,6,0.669845928,0.534418562,低级别
‘00010793,533,61,16,0.654525129,0.710033537,低级别
‘00010794,533,32,11,0.478637413,0.478688552,低级别
‘00010795,534,1,21,0.37056041,0.700608514,低级别
‘00010797,531,101,13,0.142267525,0.616022137,低级别
‘00010799,535,32,8,0.461906449,0.661123317,低级别
‘00010801,651,2,42,0.931079358,1.120919207,高级别
‘00010802,528,155,17,0.500923395,0.620688483,低级别
‘00010804,524,8,12,0.422819291,0.480391113,低级别
‘00010805,533,123,2,0.39556962,0.715,低级别
‘00010807,520,117,4,0.594843777,0.653582039,低级别
‘00010809,519,25,5,0.571022924,0.782964887,低级别
‘00010811,517,13,10,0.597990329,0.780101239,低级别
‘00010812,517,20,3,0.6,0.625890653,低级别
‘00010813,517,49,13,0.69819501,0.873111396,低级别
‘00010814,608,33,6,1.13060321,0.79034311,低级别
‘00010815,516,24,10,0.515621311,0.52981821,低级别
‘00010816,516,49,33,0.706484642,0.738067083,低级别
‘00010819,515,2,33,0.841437238,0.71905133,低级别
‘00010820,573,46,7,0.751030018,0.761203649,低级别
‘00010821,546,17,8,0.337712067,0.627322768,低级别
‘00010824,512,14,4,0.595784253,0.719463732,低级别
‘00010826,510,34,11,0.396635644,0.803704536,低级别
‘00010831,507,60,3,0.541863272,0.701911555,低级别
‘00010833,504,95,6,0.51562848,0.579367436,低级别
‘00010834,503,50,9,0.412714848,0.584226548,低级别
‘00010836,501,28,10,0.81216251,0.788255336,低级别
‘00010837,498,4,50,0.555878197,0.604554128,中等级别
‘00010838,497,48,4,0.639741131,0.689285714,低级别
‘00010841,496,2,56,0.742269196,0.73965865,高级别
‘00010846,489,21,12,0.417696439,0.504331821,低级别
‘00010847,483,81,7,0.421563913,0.448215831,低级别
‘00010848,486,52,6,0.3278154,0.341640331,低级别
‘00010851,477,177,3,0.78331467,0.811864502,低级别
‘00010852,476,88,6,0.161052976,0.476666667,低级别
‘00010855,481,7,50,0.621624495,0.762224998,中等级别
‘00010857,483,11,12,0.588406341,0.668480443,低级别
‘00010860,466,65,5,0.335940481,0.318817245,低级别
‘00010862,460,11,15,0.66853975,0.746901116,高级别
‘00010863,460,37,3,0.476166456,0.512168979,低级别
‘00010866,465,48,9,0.425178553,0.808478112,低级别
‘00010867,455,2,17,0.697496818,0.689513304,低级别
‘00010868,520,4,7,0.809625668,0.783078877,低级别
‘00010870,456,5,4,0.356556468,0.607488351,低级别
‘00010872,449,35,6,0.602745203,0.638590085,低级别
‘00010873,449,1,19,0.568108172,0.643586579,低级别
‘00010875,447,22,20,0.62607436,0.618656205,低级别
‘00010878,473,136,5,0.332396839,0.390928885,低级别
‘00010879,517,2,29,1.137605213,0.863786587,中等级别
‘00010881,445,86,13,1.03658946,0.937807989,低级别
‘00010884,444,13,16,0.739546107,0.724484254,低级别
‘00010885,442,92,6,0.49335796,0.601109611,低级别
‘00010891,434,20,5,0.741598695,0.61033279,低级别
‘00010894,428,37,4,0.334582019,0.3075,低级别
‘00010896,424,4,3,0.892597347,0.953080873,低级别
‘00010898,422,48,3,0.503111111,0.499985185,低级别
‘00010899,422,2,22,0.548116071,0.577104153,低级别
‘00010901,423,14,6,0.512337371,0.702027815,低级别
‘00010902,419,36,9,0.354203638,0.415124224,低级别
‘00010903,417,13,10,0.316884855,0.629673729,中等级别
‘00010910,399,23,13,0.76932057,0.851073547,高级别
‘00010912,398,74,3,1.228621291,0.948964514,低级别
‘00010915,398,34,6,0.37371134,0.344391753,低级别
‘00010918,403,145,3,0.639671362,0.507535211,低级别
‘00010920,414,3,18,0.491098019,0.642972291,低级别
‘00010921,414,79,5,0.81218543,0.67157351,低级别
‘00010922,405,14,5,0.54259502,0.6,低级别
‘00010924,405,50,3,0.655789219,0.793333333,低级别
‘00010925,412,26,7,0.246427853,0.725870396,低级别
‘00010927,435,66,4,0.976110363,0.7325,低级别
‘00010929,393,48,7,0.688271868,0.760137978,低级别
‘00010931,395,35,6,0.429578544,0.429098851,低级别
‘00010933,391,7,5,0.885453414,0.908798506,低级别
‘00010934,450,85,12,0.392526997,0.613259584,低级别
‘00010935,387,23,11,0.586355912,0.682632678,低级别
‘00010938,388,35,17,0.527911034,0.746595435,低级别
‘00010939,385,7,3,0.576115486,0.672339708,低级别
‘00010942,383,70,5,0.769994862,0.799427984,低级别
‘00010944,383,44,2,0.547792334,0.52790393,低级别
‘00010945,381,12,6,0.544800434,0.490557969,低级别
‘00010947,378,52,5,0.48081557,0.44,低级别
‘00010948,378,28,4,0.338610467,0.4123374,低级别
‘00010950,375,89,5,0.889126306,0.879126306,低级别
‘00010956,2484,70,3,0.658713693,0.743325726,低级别
‘00010957,373,86,4,0.42161611,0.572781035,低级别
‘00010958,383,14,16,0.560386907,0.642708652,低级别
‘00010959,371,51,6,0.421560621,0.489065261,低级别
‘00010960,371,12,4,0.613478187,0.653355967,低级别
‘00010964,444,82,7,0.25154397,0.687087864,低级别
‘00010966,3439,11,17,1.333952656,1.291281998,高级别
‘00010967,3439,6,96,0.698716382,0.746628299,中等级别
‘00010968,3439,34,33,1.411103387,1.439426133,中等级别
‘00010969,3427,26,18,0.627536075,0.669275976,低级别
‘00010970,3425,130,3,0.61483564,0.667679498,低级别
‘00010971,3420,25,61,0.657293904,0.746502852,低级别
‘00010972,3418,112,14,0.448077308,0.457236131,低级别
‘00010973,3415,223,6,0.484139642,0.682330321,低级别
‘00010975,3413,5,60,0.659034595,0.666361541,中等级别
‘00010976,3413,79,29,0.640942399,0.730467953,低级别
‘00010977,3431,32,21,0.336952588,0.399742309,中等级别
‘00010978,3410,21,19,0.572530731,0.65503872,低级别
‘00010980,3410,37,15,0.651785367,0.748045227,低级别
‘00010981,3409,75,7,0.622915277,0.568545697,低级别
‘00010982,3409,5,14,0.554806915,0.631027606,低级别
‘00010983,3408,100,13,0.592965868,0.644475557,低级别
‘00010984,3408,61,21,0.733289626,0.732893135,中等级别
‘00010986,3408,30,12,0.540318993,0.578055538,低级别
‘00010988,3407,20,53,0.741206338,0.761607634,中等级别
‘00010990,3427,6,21,0.647025963,0.772535646,高级别
‘00010991,3432,27,30,0.698213234,0.905490781,中等级别
‘00010992,3402,67,5,0.286688629,0.772052298,低级别
‘00010993,3415,39,30,0.506086826,0.690167684,低级别
‘00010994,3407,105,8,1.007285517,0.949923376,低级别
‘00010995,3408,139,2,0.913150348,0.982277755,低级别
‘00010998,3402,11,16,0.541064265,0.504059496,低级别
‘00011000,3408,1,106,0.703567958,0.746489276,中等级别
‘00011004,3387,84,9,0.419113987,0.51599104,低级别
‘00011005,3401,15,10,1.320673789,1.431477813,低级别
‘00011006,3389,11,45,1.430241883,1.378929246,中等级别
‘00011007,3391,7,33,0.923548481,1.038886788,中等级别
‘00011008,3387,33,12,0.420281753,0.493938953,低级别
‘00011009,3379,27,35,0.683452169,0.837397234,低级别
‘00011010,3394,3,31,0.6550585,0.7510702,低级别
‘00011012,3372,98,7,0.790138067,0.818088757,低级别
‘00011013,3378,12,16,0.618006374,0.671930772,低级别
‘00011016,3381,75,19,0.589712326,0.72567651,低级别
‘00011017,3395,1,68,0.7166198,0.733065548,高级别
‘00011018,3377,85,23,0.42266772,0.510764031,低级别
‘00011020,3363,3,5,0.536093924,0.590690148,低级别
‘00011021,3375,35,19,0.632576483,0.668971934,低级别
‘00011022,3363,64,10,0.840100251,0.843883459,低级别
‘00011024,3364,21,15,0.628146943,0.683131529,低级别
‘00011026,3369,25,55,0.713708255,0.780814411,中等级别
‘00011028,3357,7,125,0.698938188,0.75433474,高级别
‘00011030,3359,3,88,0.992266787,1.039534044,高级别
‘00011032,3347,4,85,0.585972978,0.65577155,高级别
‘00011033,3364,12,63,0.666055106,0.713542692,中等级别
‘00011034,3353,21,76,0.647591441,0.819187329,中等级别
‘00011035,3381,14,67,0.694299573,0.740332081,中等级别
‘00011037,3347,12,30,1.178940592,1.355861619,中等级别
‘00011038,3350,120,13,0.690243018,0.68551203,低级别
‘00011041,3350,11,20,0.731813288,0.748345894,低级别
‘00011042,3347,33,4,0.683908046,0.782057177,中等级别
‘00011043,3340,74,6,0.764908257,0.781666667,低级别
‘00011044,3346,61,16,0.904217091,0.924641279,低级别
‘00011045,3347,35,18,0.799882422,0.801271605,低级别
‘00011046,3350,1,3,0.595939751,0.538235102,低级别
‘00011048,3339,5,3,0.697162556,0.727748608,低级别
‘00011049,3340,14,39,0.660825614,0.696078431,低级别
‘00011050,3343,69,12,0.519277571,0.58511891,低级别
‘00011051,3340,39,50,1.000450782,1.070130276,低级别
‘00011052,3340,48,10,0.784419637,0.876333573,低级别
‘00011053,3336,1,50,0.669395092,0.720400918,中等级别
‘00011055,3331,9,97,0.924698969,1.036667137,高级别
‘00011056,3328,1,22,0.942854174,0.890699257,低级别
‘00011057,3322,45,40,0.571772135,0.649244581,低级别
‘00011058,3323,31,28,0.788430943,0.825137934,低级别
‘00011059,3320,54,13,0.564338624,0.782058201,低级别
‘00011060,3347,2,65,0.442763598,0.756427364,中等级别
‘00011061,3319,10,19,0.836003051,0.835789474,低级别
‘00011064,3336,5,48,0.638068448,0.72545531,中等级别
‘00011065,3346,10,22,0.463969491,0.524477864,低级别
‘00011067,3316,153,7,0.546183235,0.610487677,低级别
‘00011068,3312,13,27,1.296007548,1.045584964,中等级别
‘00011069,3311,1,47,0.596458298,0.684942844,中等级别
‘00011071,3310,79,3,1.397194001,1.050977262,低级别
‘00011074,3302,33,34,0.779011389,0.784485182,低级别
‘00011075,3303,86,2,0.438596491,0.417744361,低级别
‘00011076,3304,21,49,0.5310206,0.564212843,低级别
‘00011078,3302,46,11,0.725381337,0.816479363,低级别
‘00011079,3299,12,40,0.785305087,0.7186447,中等级别
‘00011080,3302,11,51,0.717758328,0.747623767,中等级别
‘00011082,3304,8,36,0.52376071,0.648082897,低级别
‘00011083,3299,2,42,0.67666621,0.757844999,低级别
‘00011084,3319,84,15,0.664302022,0.770501468,低级别
‘00011086,3293,61,34,0.571448333,0.764543275,低级别
‘00011087,3297,19,3,0.796436417,0.874869417,低级别
‘00011088,3294,128,21,0.507737619,0.604167463,中等级别
‘00011090,3302,171,2,0.909955612,0.964996829,低级别
‘00011091,3303,14,22,0.89232511,1.069408295,高级别
‘00011092,3302,206,5,0.653714456,0.670287331,低级别
‘00011093,3290,42,33,0.674156166,0.708646324,低级别
‘00011096,3301,21,12,0.576945384,0.684724021,低级别
‘00011097,3296,30,2,0.43997669,0.827651515,低级别
‘00011098,3298,34,9,0.566382649,0.686717273,低级别
‘00011099,3298,1,23,0.534660938,0.733617627,低级别
‘00011100,3292,7,38,0.585395462,0.65609892,高级别
‘00011101,3288,25,32,0.589301759,0.654449015,低级别
‘00011102,3287,27,5,0.421743778,0.727689724,低级别
‘00011106,3283,118,11,0.745020213,0.762671077,低级别
‘00011110,3280,3,82,0.70398497,0.767930622,高级别
‘00011112,3283,100,14,0.437970033,0.690862277,低级别
‘00011113,3284,94,6,0.460902125,0.542563567,低级别
‘00011115,3281,67,7,0.897341325,0.731143384,低级别
‘00011117,3277,114,7,0.440415452,0.480768039,低级别
‘00011118,3278,18,20,0.562637873,0.640962112,低级别
‘00011120,3276,16,25,0.885682669,0.835886534,低级别
‘00011124,3269,9,22,0.700049012,0.617327779,低级别
‘00011125,3271,67,3,0.864371874,0.906666667,低级别
‘00011126,3267,115,7,0.518951384,0.605802289,低级别
‘00011128,3265,16,16,0.620555047,0.683396767,低级别
‘00011129,3262,61,26,0.610760234,0.659661339,低级别
‘00011134,3258,57,13,0.712288837,0.826019212,低级别
‘00011136,3260,6,40,0.734813926,0.767738295,低级别
‘00011137,3266,17,14,0.588000188,0.647695961,低级别
‘00011138,3260,128,3,0.79556314,0.816791809,低级别
‘00011139,3262,16,58,1.156090699,1.299097235,高级别
‘00011141,3268,94,10,0.654014599,0.512,低级别
‘00011142,3265,8,16,0.617603598,0.620835207,低级别
‘00011143,3273,1,10,0.704899267,0.854075092,低级别
‘00011145,3256,17,13,1.217971868,1.359664037,高级别
‘00011146,3256,107,4,0.433109205,0.453454672,低级别
‘00011147,3255,100,13,0.517571885,0.591246421,低级别
‘00011148,3256,48,10,0.668994809,0.72843983,低级别
‘00011149,3262,50,31,0.445451163,0.589918806,低级别
‘00011151,3248,46,8,0.232139103,0.588320971,低级别
‘00011152,3269,18,65,0.650071959,0.779959566,中等级别
‘00011153,3255,28,33,0.493054498,0.561352946,低级别
‘00011156,3272,106,12,0.555389891,0.614844193,低级别
‘00011158,3254,4,31,0.431943896,0.600991374,低级别
‘00011159,3247,5,19,0.672132871,0.712018992,低级别
‘00011160,3250,36,13,0.652886115,0.704224983,低级别
‘00011161,3252,8,51,0.546467736,0.616010498,低级别
‘00011164,3242,9,26,0.629517225,0.724489086,低级别
‘00011167,3238,14,63,0.642412889,0.611694642,中等级别
‘00011168,3244,38,3,0.548165822,0.590292276,低级别
‘00011170,3240,55,19,0.791608478,0.740006207,低级别
‘00011172,3253,27,10,0.808136393,0.797516337,低级别
‘00011173,3239,9,12,0.585931835,0.690772578,低级别
‘00011174,3235,98,3,0.81792183,0.833332698,低级别
‘00011175,3242,23,3,0.223457598,0.683333333,低级别
‘00011177,3234,75,10,0.705922223,0.791841057,低级别
‘00011179,3226,81,23,0.591516869,0.653544379,高级别
‘00011181,3235,1,25,1.001964845,1.406549307,中等级别
‘00011183,3230,13,63,0.952312448,1.062971704,高级别
‘00011185,3221,30,37,0.608308123,0.598547217,低级别
‘00011186,3229,11,8,0.49821121,0.563221147,低级别
‘00011187,3219,26,11,0.805610947,0.805894245,低级别
‘00011191,3216,58,35,0.793501334,0.869739722,低级别
‘00011192,3232,254,7,0.651981493,0.79312412,低级别
‘00011194,3211,254,2,0.493967676,0.730097883,低级别
‘00011195,3213,17,34,0.397148161,0.597434026,低级别
‘00011196,3224,193,6,0.819708352,0.762825895,低级别
‘00011197,3212,1,2,0.592923795,0.605,低级别
‘00011198,3207,6,51,0.764469527,0.782947236,高级别
‘00011200,3210,3,4,0.840068056,0.919946831,低级别
‘00011201,3208,12,19,0.812235676,0.819186606,低级别
‘00011202,3207,48,3,0.519261897,0.567976691,低级别
‘00011203,3207,16,23,0.840855107,0.782913698,低级别
‘00011206,3207,50,9,0.701233222,0.797788376,低级别
‘00011207,3218,107,10,0.525320161,0.663478961,低级别
‘00011208,3201,72,33,0.659453209,0.699263236,低级别
‘00011209,3199,87,9,0.970646184,1.066327925,高级别
‘00011211,3207,12,7,0.55193034,0.583200797,低级别
‘00011213,3207,98,12,0.519028192,0.549759484,低级别
‘00011214,3206,256,4,0.640360767,0.71,低级别
‘00011216,3201,41,2,1.301770276,1.475953067,低级别
‘00011217,3200,17,28,1.000634566,1.087202071,低级别
‘00011218,3195,110,7,0.537678057,0.599757916,低级别
